AI Lifecycle Stage,ID,"Risk area

UK GDPR Reference",Data Protection Risk Statement,Risk Assessment Summary,Inherent Risk Rating,Control,Control Objective,Practical steps to reduce the risk,Further ICO Guidance,Practical Steps Your Organisation Will Take,Control Owner,Current status,Completion date,Residual Risk Rating (following action),
Business requirements and design,1.1,"Accountability

Articles 5(2), 35 and 36 and Recitals 74-77, 84, 89-92, 94 and 95. ","The misidentification of risks to individual rights and freedoms caused by not carrying out a risk assessment. As a consequence, an organisation cannot put in place appropriate technical and organisational measures to prevent harms occurring to individuals.",,,Conduct a data protection impact assessment (DPIA),To identify risks and implement appropriate technical and organisational measures to reduce them.,"You must do a DPIA for processing that is likely to result in high risk to individuals.
",What are the accountability and governance implications of AI? | ICO,,,,,,
,,,,,,,,"You must, where appropriate, consult with individuals who are likely to be affected by your use of AI.",,,,,,,
,,,,,,,,"If you identify a high risk that you cannot mitigate, you must consult with the ICO before starting the processing.",,,,,,,
,,,,,,,,"As part of your DPIA, you should consult with the teams within your organisation who will be involved in your project to identify data protection risks of your AI project. The teams you may want to consult include the engineering team, the legal and compliance team, and any staff who will be part of the decision pipeline.

",,,,,,,
,,,,,,,,You could consult with domain experts who can advise on what risks you should address.,,,,,,,
Business requirements and design,1.2,"Accountability

Articles 5(2) and 24 and Recitals 39 and 74","A lack of accountability over risks to individual rights and freedoms created or exacerbated by AI systems is caused by not clearly assigning roles and responsibilities. As a consequence, risks are left unaddressed, and individuals may suffer harm.",,,Assign technical and operational roles and responsibilities and provide clear direction and support on the use of AI systems and the application of data protection law,To make it clear who is accountable for mitigating and managing risks in the AI system.,"You should appoint a senior owner or senior process owner to drive accountability. 
",Accountability and governance | ICO,,,,,,
,,,,,,,,"You should put in place operational procedures, guidance or manuals to support AI policies and provide direction to operational staff on the use of AI systems and the application of data protection law.",,,,,,,
Business requirements and design,1.3,"Purpose limitation

Article 5(1)(b), Recital 39, Article 6(4) and Recital 50 and Article 30","Function creep over how personal data is processed is caused by not defining what purpose you will use your AI system. As a consequence, individuals lose control over how their data is being used.",,,"Document each purpose for using personal data at each stage of the AI lifecycle, assess whether they are compatible with the originally defined purpose, and schedule reviews to reassess your purposes and whether they remain compatible.","To define what your AI system will be used for, how personal data will be used and prevent incompatible processing taking place.","You must provide clear transparency information to inform individuals about your purposes from the outset. For example, in a privacy notice.",Principle (b): Purpose limitation | ICO,,,,,,
,,,,,,,,"You should consider completing a data flow mapping exercise to document the data that flows in, through and out of an AI system to ensure a lawful basis and, if necessary, Article 9 or Article 10 condition (or both) is selected for each purpose.",,,,,,,
Business requirements and design,1.4,"Fairness

Article 5(1)(a); Recital 71","AI systems producing unfair outcomes for individuals are caused by insufficiently diverse training data, training data inappropriate for the purpose of the AI system, training data that reflects past discrimination, design architecture choices or another reason. As a consequence, individuals suffer from unjustified adverse impacts such as discrimination, financial loss or other significant economic or social disadvantages.
",,,"Document an assessment of the different ways your AI system could result in unfairness, which should include appropriate technical and organisational measures you will use to mitigate or manage those risks on a continual basis.",To identify risks associated with fairness and take appropriate preventative action,"You should ensure the assessment is conducted by appropriately skilled personnel (this may require a cross-disciplinary approach, eg data scientists working with legal counsel and review boards). 

","What do we need to do to ensure lawfulness, fairness, and transparency in AI systems? | ICO",,,,,,
